period,day,value
before,1,6.79
before,2,6.84
before,3,6.85
before,4,6.47
before,5,6.67
before,6,6.76
before,7,6.75
before,8,6.72
before,9,6.88
before,10,6.83
before,11,6.65
before,12,6.77
before,13,6.92
before,14,6.73
before,15,6.94
before,16,6.84
before,17,6.71
before,18,6.88
before,19,6.66
before,20,6.97
before,21,6.63
before,22,7.06
before,23,6.55
before,24,6.77
before,25,6.99
before,26,6.7
before,27,6.65
before,28,6.87
before,29,6.89
before,30,6.92
before,31,6.74
before,32,6.58
before,33,6.4
before,34,7.04
before,35,6.95
before,36,7.01
before,37,6.97
before,38,6.78
before,39,6.88
before,40,6.8
before,41,6.77
before,42,6.64
before,43,6.89
before,44,6.79
before,45,6.77
before,46,6.86
before,47,6.76
before,48,6.8
before,49,6.8
before,50,6.81
before,51,6.81
before,52,6.8
before,53,6.9
before,54,6.67
before,55,6.82
before,56,6.68
before,57,6.76
before,58,6.77
before,59,6.7
before,60,6.62
before,61,6.67
before,62,6.84
before,63,6.76
before,64,6.98
before,65,6.62
before,66,6.66
before,67,6.72
before,68,6.96
before,69,6.89
before,70,6.42
before,71,6.68
before,72,6.9
before,73,6.72
before,74,6.98
before,75,6.74
before,76,6.76
before,77,6.77
before,78,7.13
before,79,7.14
before,80,6.78
before,81,6.77
before,82,6.87
before,83,6.83
before,84,6.84
before,85,6.77
before,86,6.76
before,87,6.73
before,88,6.8
before,89,7.01
before,90,6.67
before,91,6.85
before,92,6.9
before,93,6.95
before,94,6.88
before,95,6.73
before,96,6.92
before,97,6.76
before,98,6.68
before,99,6.79
before,100,6.93
before,101,6.86
before,102,6.87
before,103,6.95
before,104,6.73
before,105,6.59
before,106,6.84
before,107,6.62
before,108,6.77
before,109,6.53
before,110,6.94
before,111,6.91
before,112,6.9
before,113,6.75
before,114,6.74
before,115,6.74
before,116,6.76
before,117,6.65
before,118,6.72
before,119,6.87
before,120,6.92
before,121,6.98
before,122,6.7
before,123,6.97
before,124,6.95
before,125,6.94
before,126,6.93
before,127,6.8
before,128,6.84
before,129,6.78
before,130,6.67
after,131,6.66
after,132,6.63
after,133,6.82
after,134,6.84
after,135,6.7
after,136,6.74
after,137,6.76
after,138,6.81
after,139,6.77
after,140,6.67
